"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,70049.7243043341,70049.7243043341,13713.0892206795,13713.0892206795,680130875.614469,0.142,0.60028,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2002,42481.3851645252,42481.3851645252,7431.90958000734,7431.90958000734,514536856.394238,0.065,0.497166666666667,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2003,55701.687176161,55701.687176161,7896.83708023816,7896.83708023816,747003124.999059,0.0673333333333333,0.4415,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2004,52845.5358261235,52845.5358261235,7034.67611624777,7034.67611624777,873017367.523828,0.0438333333333333,0.422,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2005,100263.874469671,100263.874469671,21979.262409978,21979.262409978,1522198140.00868,0.0676666666666667,0.4345,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2006,58261.2830944157,58261.2830944157,8788.79649126063,8788.79649126063,1084877654.40532,0.0481666666666667,0.3735,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2007,29877.6865360136,29877.6865360136,4044.93225180076,4044.93225180076,721754465.369711,0.0438333333333333,0.386833333333333,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2008,38910.4023067591,38910.4023067591,5648.16217278298,5648.16217278298,886329412.344291,0.0508333333333333,0.394166666666667,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2009,82026.7658298112,82026.7658298112,27415.7723166232,27415.7723166232,1547079813.3062,0.0403333333333333,0.301,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2010,36802.1070575609,36802.1070575609,4762.33432118219,4762.33432118219,903843296.917565,0.0392,0.332,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2011,118696.980561864,118696.980561864,40999.0137588809,40999.0137588809,1957828041.91011,0.0492857142857143,0.351857142857143,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2012,45873.0968822433,45873.0968822433,6044.0530389619,6044.0530389619,964910978.974178,0.0213333333333333,0.257666666666667,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2013,34080.951100584,34080.951100584,5387.41241518882,5387.41241518882,696084994.746541,0.0336666666666667,0.334,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2014,130992.747301573,130992.747301573,39173.3133570508,39173.3133570508,1645975290.00557,0.141666666666667,0.513333333333333,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
2015,135802.449167947,135802.449167947,42476.0341840617,42476.0341840617,1569064741.15788,NA,NA,63.3506149384282,7.7715611723761e-16,0.52629392337771,63.3506149384282,7.7715611723761e-16,0.52629392337771
