water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,4090.099629,6454583.274,0.678333333,88.69874747,0,0.409379095
2002,2894.509133,5148328.92,0.545833333,88.69874747,0,0.409379095
2003,5826.539299,11398350.81,0.3975,88.69874747,0,0.409379095
2004,436.8142786,893000.0741,NA,88.69874747,0,0.409379095
2005,389.7637173,893000.0741,NA,88.69874747,0,0.409379095
2006,360.458331,893000.0741,NA,88.69874747,0,0.409379095
2007,345.0387792,893000.0741,NA,88.69874747,0,0.409379095
2008,343.0605854,893000.0741,NA,88.69874747,0,0.409379095
2009,351.4459551,893000.0741,NA,88.69874747,0,0.409379095
2010,373.8784212,893000.0741,NA,88.69874747,0,0.409379095
2011,411.4772137,893000.0741,NA,88.69874747,0,0.409379095
2012,469.0573218,893000.0741,NA,88.69874747,0,0.409379095
2013,1782.311839,3013691.757,0.626666667,88.69874747,0,0.409379095
2014,2496.339718,3955069.966,0.466666667,88.69874747,0,0.409379095
