water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2002,252.1002765,916414.1004,0.27,91.87222707,2.36E-14,0.391838157
2003,334.5980734,901979.0064,0.628,91.87222707,2.36E-14,0.391838157
2004,302.863636,905443.5178,0.228,91.87222707,2.36E-14,0.391838157
2005,624.3507765,1514430.263,0.519,91.87222707,2.36E-14,0.391838157
2006,277.0313658,984991.3146,0.5665,91.87222707,2.36E-14,0.391838157
2007,238.3796311,961014.8743,0.45,91.87222707,2.36E-14,0.391838157
2008,202.5433123,926426.5796,0.285,91.87222707,2.36E-14,0.391838157
2009,181.933082,929429.584,0.145,91.87222707,2.36E-14,0.391838157
2010,169.6125148,953210.2983,0.2,91.87222707,2.36E-14,0.391838157
2011,154.4380701,963461.4498,0.225,91.87222707,2.36E-14,0.391838157
2012,134.010298,942798.2476,0.22,91.87222707,2.36E-14,0.391838157
2013,117.5813973,933123.913,0.14,91.87222707,2.36E-14,0.391838157
2014,44.67320967,936459.411,0.15,91.87222707,2.36E-14,0.391838157
