water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,34665.87184,12364015.6,2.4098,94.92792679,0,0.232978045
2002,110977.4994,53022185.22,2.265090909,94.92792679,0,0.232978045
2003,83459.27933,34768285.08,2.489416667,94.92792679,0,0.232978045
2004,100433.7344,38357525.04,2.526416667,94.92792679,0,0.232978045
2005,79660.77136,27445684.47,2.58525,94.92792679,0,0.232978045
2006,131577.3212,46825009.36,2.979833333,94.92792679,0,0.232978045
2007,141226.7012,49765793.17,3.002833333,94.92792679,0,0.232978045
2008,138864.0407,48348878.33,2.840333333,94.92792679,0,0.232978045
2009,85165.25241,26232183,3.3405,94.92792679,0,0.232978045
2010,132033.0708,49090538.32,2.779083333,94.92792679,0,0.232978045
2011,159270.9806,62678818.9,2.614583333,94.92792679,0,0.232978045
2012,129052.7381,65870204.18,2.322545455,94.92792679,0,0.232978045
