water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,548.3642077,1810299.47,0.22,98.72257215,0,0.116735329
2002,623.0471313,1595167.256,0.22,98.72257215,0,0.116735329
2003,534.9076687,1238456.541,0.22,98.72257215,0,0.116735329
2004,513.8169931,1248736.169,0.235,98.72257215,0,0.116735329
2005,492.6707499,1276623.12,0.21,98.72257215,0,0.116735329
2006,448.2771516,1194418.181,0.19,98.72257215,0,0.116735329
2007,425.6394354,1267815.448,0.185,98.72257215,0,0.116735329
2008,336.374918,893000.0741,NA,98.72257215,0,0.116735329
2009,358.666239,1275889.147,0.13,98.72257215,0,0.116735329
2010,2849.415849,5190654.677,0.2625,98.72257215,0,0.116735329
2011,238.5431281,1368088.962,0.105,98.72257215,0,0.116735329
