"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,836082.039921527,63717.7001492506,32612.8138396907,2785.2026712924,383256059.199356,0.170075,2.31156666666667,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2002,2807058.00000099,227087.466635107,107712.310537204,10656.2973242122,1530969113.33922,0.114853658536585,2.474,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2003,2579858.57063991,190926.57586427,81793.7313347433,8174.30574522537,1299527959.88796,0.109684210526316,2.79876315789474,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2004,2223625.06623629,156524.578992662,60293.0469446917,5869.85872800591,970256779.964214,0.104973684210526,2.94313157894737,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2005,1699230.2601263,99851.9388884511,49377.0151006416,4045.0328309559,676336236.943431,0.152205128205128,3.08569230769231,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2006,4438192.25207279,243144.532204567,195463.518107583,15071.2657227317,1716561441.0682,0.117,3.10838461538462,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2007,3567200.68027166,204647.268195234,115713.662262417,9337.5080747131,1378160897.91967,0.104578947368421,3.27523684210526,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2008,3627241.75398703,205427.207514425,114835.950676171,9113.39725323051,1369252140.94119,0.136184210526316,3.36447368421053,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2009,2487196.05701318,134896.550905809,77829.2027223865,5940.28254985273,887380290.072034,0.128315789473684,3.52608108108108,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2010,3484843.98618868,202306.586846611,101109.632585337,8349.92702451635,1411255725.32337,0.122794871794872,3.07964102564103,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2011,4502737.90255006,258277.223197326,154086.811197192,12508.4890737949,1854675523.76161,0.113342105263158,2.87352631578947,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2012,3576109.20277361,211114.201531652,135125.360704501,10213.6665717865,1518902850.08032,0.190107142857143,3.12814285714286,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2013,2901616.2126303,177285.820617934,120621.917531371,8550.45913848664,1207612563.21984,0.1175,2.79083333333333,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2014,2361103.26157925,157351.193106501,117488.021905405,7211.49814487056,1119305865.4813,0.1594,2.8654,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
2015,2125257.92842469,161878.000181393,123093.03175431,6776.19530178323,1029932460.80494,NA,NA,92.878292098361,0,0.238364982782975,91.6789730698947,0,0.363405438216566
