"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,1055909.65573812,94071.2134872566,49903.5837615122,9826.03602956101,383256059.199356,0.2815,2.8187,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2002,2746018.6613797,273215.008240841,113157.743782107,25504.102945119,1530969113.33922,0.149166666666667,2.5394,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2003,2500634.46136094,213393.058043856,82028.0176038134,15875.0875616175,1299527959.88796,0.167,3.18318181818182,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2004,2190156.49474311,177567.111086915,60669.4172514715,11298.2324406578,970256779.964214,0.115833333333333,3.09433333333333,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2005,1745207.71403143,110141.467134564,49992.2088856749,7358.02917052426,676336236.943431,0.236,2.96584615384615,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2006,3749056.32937924,230066.565848451,146969.184427372,20526.8903458393,1716561441.0682,0.107774193548387,3.19003225806452,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2007,3162580.01423983,207764.040025743,95620.2254671049,14802.2370666372,1378160897.91967,0.110871794871795,3.6065641025641,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2008,3207888.00958774,208183.024853835,90731.8780611081,13744.3179481757,1369252140.94119,0.14909756097561,3.67680487804878,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2009,2346220.58691953,143513.712449309,65550.5238566704,9462.58652152343,887380290.072034,0.141894736842105,3.94515789473684,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2010,3185722.08301078,219256.52394557,85584.3348856928,13600.734423727,1411255725.32337,0.128128205128205,3.21217948717949,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2011,3992057.20780576,281279.411943204,131377.848413349,21411.7140495063,1854675523.76161,0.118631578947368,3.01613157894737,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2012,3318926.65513434,244838.980526735,132651.003893024,22297.2837109181,1518902850.08032,0.289333333333333,3.86386666666667,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2013,2840292.94304496,237006.814009001,136570.652466071,26123.3719122891,1207612563.21984,NA,NA,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2014,2463591.39565599,223063.991210496,154780.922188193,32155.1859038747,1119305865.4813,NA,NA,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
2015,2328047.27743228,268364.989245237,179396.801996035,47174.6711193895,1029932460.80494,NA,NA,94.3424921634221,0,0.183523800961838,89.8545822031197,0,0.421276494784398
