"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,978862.596171466,61846.1783393704,34731.8221744322,2504.66066058749,383256059.199356,0.165666666666667,2.8336,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2002,3035062.26048722,244888.579418927,105966.51295925,10859.9027211921,1530969113.33922,0.1035,2.64194117647059,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2003,2765408.92879789,204120.501331999,79559.5533811545,8207.28828359996,1299527959.88796,0.113342105263158,2.85965789473684,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2004,2402141.10275879,163608.972018531,59159.1291591415,5746.21451283447,970256779.964214,0.113578947368421,2.86607894736842,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2005,1839143.35476255,101656.919839475,48485.3639983751,3813.46128188644,676336236.943431,0.144725,3.233675,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2006,4180838.81296131,264784.230539033,161377.672188031,15555.6472318686,1716561441.0682,0.115925,3.2796,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2007,3592487.63807267,219224.209029689,105702.391797102,9456.20433783841,1378160897.91967,0.109333333333333,3.48733333333333,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2008,3645050.59896455,219637.264956449,104080.795442427,9206.85955453274,1369252140.94119,0.133926829268293,3.39158536585366,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2009,2552641.57719901,140719.423475939,72220.5411062715,5832.71485011184,887380290.072034,0.138210526315789,3.75368421052632,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2010,3667112.76174798,215631.654973357,96901.6393702889,8350.03130743794,1411255725.32337,0.12325641025641,3.18507692307692,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2011,4600837.59092778,280339.619107021,141259.897949321,12786.5333537561,1854675523.76161,0.115026315789474,2.93552631578947,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2012,3732308.24757835,227446.777860315,123888.259599903,10389.6927321853,1518902850.08032,0.164428571428571,3.11396428571429,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2013,3130814.40333814,188539.549651047,114077.093612677,8619.21513513163,1207612563.21984,0.113083333333333,3.20708333333333,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2014,2670150.19230577,166686.445094272,113712.81128663,7171.31967771655,1119305865.4813,0.145,3.279,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
2015,2495187.24349285,170127.680873845,123158.185066478,6693.49413652759,1029932460.80494,NA,NA,93.8992001840174,0,0.218760726453749,93.0043981191002,0,0.341184368893813
