"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2005,62.8660791374687,23.6423895663459,7.4645235004602,8.03637508062197,104481008.6697,NA,NA,89.6430583610605,0,0.410773447141501,88.0818931211052,1.80966353013901e-14,0.553302474536813
2006,54856.8308986644,31978.3296435715,9357.50262795423,13361.2443805457,NA,0.0575,0.2725,89.6430583610605,0,0.410773447141501,88.0818931211052,1.80966353013901e-14,0.553302474536813
2007,59508.1263577019,33226.6433446818,11983.9908232889,14499.0074538154,187108959.909623,0.1075,0.4025,89.6430583610605,0,0.410773447141501,88.0818931211052,1.80966353013901e-14,0.553302474536813
2008,517660.863042957,114280.70859051,178006.451461892,282401.511977029,773973167.775213,0.04,0.185,89.6430583610605,0,0.410773447141501,88.0818931211052,1.80966353013901e-14,0.553302474536813
2009,102285.413228684,21242.4608114685,19955.6326254119,10327.2698184411,306050697.998434,0.095,0.3575,89.6430583610605,0,0.410773447141501,88.0818931211052,1.80966353013901e-14,0.553302474536813
2010,472484.137289388,103255.270619387,143538.727690772,150597.488426924,729694826.302565,0.0425,0.21,89.6430583610605,0,0.410773447141501,88.0818931211052,1.80966353013901e-14,0.553302474536813
2011,77774.9552334474,14326.1748166466,12148.8833545518,3980.54660256689,269684065.117764,0.04,0.1725,89.6430583610605,0,0.410773447141501,88.0818931211052,1.80966353013901e-14,0.553302474536813
2012,53552.9536398562,13001.8739553137,8736.96121155948,3906.13501559543,194149195.618448,0.1125,0.42,89.6430583610605,0,0.410773447141501,88.0818931211052,1.80966353013901e-14,0.553302474536813
2013,150884.974792019,33392.6504535299,37477.1910816019,27523.4180224894,336846478.362047,0.05,0.29,89.6430583610605,0,0.410773447141501,88.0818931211052,1.80966353013901e-14,0.553302474536813
2014,62149.2875360642,21774.2072462241,11790.0067965429,9915.66003419745,201510237.542979,0.0333333333333333,0.176666666666667,89.6430583610605,0,0.410773447141501,88.0818931211052,1.80966353013901e-14,0.553302474536813
2015,128078.519120067,28801.0159640285,34187.8104918104,45449.3562678181,286251296.081532,0.08,0.3,89.6430583610605,0,0.410773447141501,88.0818931211052,1.80966353013901e-14,0.553302474536813
