water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,1262.950276,3694346.352,0.587272727,90.17014095,0,0.25456847
2002,656.3546018,1756396.584,0.7319,90.17014095,0,0.25456847
2003,203.1980049,1155517.63,0.7,90.17014095,0,0.25456847
2004,357.2093348,1258739.722,0.923333333,90.17014095,0,0.25456847
2005,591.9223277,1618165.066,0.87,90.17014095,0,0.25456847
2006,765.9300238,1892181.527,0.94,90.17014095,0,0.25456847
2007,404.7866964,1238456.541,1.083333333,90.17014095,0,0.25456847
2008,524.4733101,1653514.072,0.833333333,90.17014095,0,0.25456847
2009,743.883237,1708443.703,0.996,90.17014095,0,0.25456847
2010,478.0252991,1613271.915,0.645,90.17014095,0,0.25456847
2011,384.0117828,1732902.846,0.74,90.17014095,0,0.25456847
