"water_year","flux_kgy","flow_m3y","tp_mgl","RSQ","p.value","RMSE"
2001,1275.56915652257,3383717.14824639,0.358133333333333,94.6096752211787,0,0.24737796726146
2002,408.988333008857,1643854.10900764,0.314285714285714,94.6096752211787,0,0.24737796726146
2003,593.22524921262,1934996.5989197,0.294166666666667,94.6096752211787,0,0.24737796726146
2004,649.339410003394,2044628.5849612,0.3944,94.6096752211787,0,0.24737796726146
2005,930.888193305498,2557160.76013512,0.327166666666667,94.6096752211787,0,0.24737796726146
2006,1543.6869551578,3653715.91961901,0.495333333333333,94.6096752211787,0,0.24737796726146
2007,1455.24015718914,3499581.66025381,0.385166666666667,94.6096752211787,0,0.24737796726146
2008,1694.75009640649,3904313.43872902,0.3445,94.6096752211787,0,0.24737796726146
2009,1752.28697155178,3874641.69137581,0.388333333333333,94.6096752211787,0,0.24737796726146
2010,604.766045954413,2064665.10283011,0.346666666666667,94.6096752211787,0,0.24737796726146
2011,1089.81804278501,2991427.91945773,0.371333333333333,94.6096752211787,0,0.24737796726146
2012,392.442418802026,1619111.60976164,0.31,94.6096752211787,0,0.24737796726146
2013,778.438332860758,2243265.11765011,0.514,94.6096752211787,0,0.24737796726146
2014,783.564058923561,2684564.91118905,0.332,94.6096752211787,0,0.24737796726146
