water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,162995.777,12617305.99,2.3886,94.45132734,0,0.230250431
2002,264143.2406,60141720.06,2.435545455,94.45132734,0,0.230250431
2003,252343.345,42920274.79,2.772583333,94.45132734,0,0.230250431
2004,239077.6905,26382540.44,3.079916667,94.45132734,0,0.230250431
2005,253246.2006,29569312.04,3.282583333,94.45132734,0,0.230250431
2006,338662.5531,59459125.48,2.87875,94.45132734,0,0.230250431
2007,299115.6281,41388718.5,3.016083333,94.45132734,0,0.230250431
2008,336552.1588,54997581.07,3.310333333,94.45132734,0,0.230250431
2009,284367.0762,34178660.37,3.346,94.45132734,0,0.230250431
2010,300084.2619,47321664.2,2.899833333,94.45132734,0,0.230250431
2011,332434.1663,67371350.8,2.648416667,94.45132734,0,0.230250431
2012,262778.8389,42807886.07,2.970166667,94.45132734,0,0.230250431
2013,227965.7768,31754104,2.38025,94.45132734,0,0.230250431
2014,43538.55847,34687471.63,2.106,94.45132734,0,0.230250431
