water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,2962.446744,1244414.469,2.2675,90.41169204,0,0.185881964
2002,3499.971273,1491921.768,2.542857143,90.41169204,0,0.185881964
2003,3260.264363,1375220.114,1.985,90.41169204,0,0.185881964
2004,3506.198174,1468814.33,2,90.41169204,0,0.185881964
2005,3021.090023,1238211.884,2.12,90.41169204,0,0.185881964
2006,3220.769348,1339010.796,2.058,90.41169204,0,0.185881964
2007,3292.500382,1352956.277,2.366,90.41169204,0,0.185881964
2008,3192.028915,1317053.115,2.512,90.41169204,0,0.185881964
2009,3149.632782,1299987.916,2.266,90.41169204,0,0.185881964
2010,3050.349386,1232707.089,2.252,90.41169204,0,0.185881964
2011,3156.339943,1304514.081,2.302,90.41169204,0,0.185881964
2012,3060.815508,1233877.234,2.13,90.41169204,0,0.185881964
2013,3194.323992,1328196.932,2.136,90.41169204,0,0.185881964
2014,2740.460726,1395428.489,2.1,90.41169204,0,0.185881964
