"water_year","flux_kgy","flow_m3y","tp_mgl","RSQ","p.value","RMSE"
2001,355.998850236332,938485.633429889,0.5288,85.3135145521919,0,0.591922175714696
2002,363.682891854658,914896.925232041,0.281,85.3135145521919,0,0.591922175714696
2003,362.649754337847,902492.78721646,0.239666666666667,85.3135145521919,0,0.591922175714696
2004,361.797916852619,898245.839562609,0.18,85.3135145521919,0,0.591922175714696
2005,364.268050211665,904327.71887557,0.308666666666667,85.3135145521919,0,0.591922175714696
2006,376.202240104732,926053.309719427,0.577,85.3135145521919,0,0.591922175714696
2007,362.900574374605,899434.567784611,0.341,85.3135145521919,0,0.591922175714696
2008,369.93780937809,918448.136320937,0.2826,85.3135145521919,0,0.591922175714696
2009,367.511021647041,920695.309274827,0.4086,85.3135145521919,0,0.591922175714696
2010,371.453035585278,923802.460217586,0.298,85.3135145521919,0,0.591922175714696
2011,371.999233757299,928671.14555309,0.3345,85.3135145521919,0,0.591922175714696
2012,364.557091842159,919350.895958689,0.544,85.3135145521919,0,0.591922175714696
2013,361.069224742295,902125.800884638,0.309,85.3135145521919,0,0.591922175714696
2014,42.823560022628,877104.67278102,0.5,85.3135145521919,0,0.591922175714696
