"","lagoslakeid","water_year","res_time_yr","total_Pin_ugl","Pret_coef"
"1","328600",2001,0.929041112612372,53.1648671328233,17.7324846666434
"2","328600",2002,0.929041112612372,57.929017543846,19.1670192611889
"3","328600",2003,0.929041112612372,94.6822203836345,29.8241580497176
"4","328600",2004,0.929041112612372,48.8392714311803,16.4161836874653
"5","328600",2005,0.929041112612372,115.328610590759,35.5751878489106
"6","328600",2006,0.929041112612372,62.3241973908589,20.4775658050561
"7","328600",2007,0.929041112612372,129.767732439756,39.521696484242
"8","328600",2008,0.929041112612372,126.093877490961,38.5228645576262
"9","328600",2009,0.929041112612372,90.6597244242271,28.6867300919392
"10","328600",2010,0.929041112612372,112.024761308822,34.6639536440063
"11","328600",2011,0.929041112612372,146.931159549614,44.144236366592
"12","328600",2012,0.929041112612372,73.9979737867154,23.9056105773411
"13","328600",2013,0.929041112612372,81.547506868302,26.0867133825099
"14","328600",2014,0.929041112612372,110.515851667268,34.2466977260663
"15","328600",2015,0.929041112612372,118.092366598796,36.3350185269989
"16","336493",2001,3.87835609749572,29.962154108222,7.28120448304553
"17","336493",2002,3.87835609749572,30.9198036808803,7.49723121645879
"18","336493",2003,3.87835609749572,38.0656735424972,9.0844280357631
"19","336493",2004,3.87835609749572,18.2042720823659,4.54443939171719
"20","336493",2005,3.87835609749572,15.8950476716791,3.98314282963699
"21","336493",2006,3.87835609749572,17.1962717367745,4.30065220388983
"22","336493",2007,3.87835609749572,15.0665462782062,3.77920261333545
"23","336493",2008,3.87835609749572,14.6914957228982,3.68639627655355
"24","336493",2009,3.87835609749572,19.0999068045546,4.75957242690342
"25","336493",2010,3.87835609749572,30.5111906699568,7.40516118217092
"26","336493",2011,3.87835609749572,35.924351792891,8.6130852568647
"27","336493",2012,3.87835609749572,17.899827674616,4.47099952664337
"28","336493",2013,3.87835609749572,14.1742696429679,3.55788822078248
"29","336493",2014,3.87835609749572,16.6370715341388,4.1646047828423
"30","336493",2015,3.87835609749572,21.1636034314123,5.25040824538356
"31","341691",2010,1.14027400604666,124.256060731201,36.334419688195
"32","341691",2011,1.14027400604666,129.125552895976,37.6010631185888
"33","341691",2012,1.14027400604666,74.35644484332,22.9441843191538
"34","341691",2013,1.14027400604666,91.1959305108174,27.5587995949787
"35","341691",2014,1.14027400604666,86.5367108687388,26.293328967463
"36","341691",2015,1.14027400604666,74.7726535131941,23.0596811528084
"37","360319",2001,0.0252054789294935,54.6657480246175,28.9309356726856
"38","360319",2002,0.0252054789294935,54.3146989744628,28.7623856919773
"39","360319",2003,0.0252054789294935,42.2786587524444,22.8943443858943
"40","360319",2004,0.0252054789294935,39.2092927629118,21.3664365169431
"41","360319",2005,0.0252054789294935,34.9631839379842,19.2276597559189
"42","360319",2006,0.0252054789294935,33.3285702973004,18.3957784498713
"43","360319",2007,0.0252054789294935,26.534721547366,14.8793040642317
"44","360319",2008,0.0252054789294935,26.2865012728736,14.7488112814086
