water_year,lagoslakeid,res_time_yr,total_Pin_ugl,totTNload_gm2yr,TN_removal_gNm2yr,Pret_coef,lake_lon_decdeg,lake_lat_decdeg
2009,361058,1.565753425,12.47822582,100.4764048,3236.956,3.995882572,-105.0665441,39.55037301
2010,361058,1.565753425,12.32042118,86.55350778,2442.448999,3.944828481,-105.0665441,39.55037301
2011,361058,1.565753425,12.86233853,189.0250277,10674.34244,4.11979114,-105.0665441,39.55037301
2012,361058,1.565753425,11.79852609,69.19392654,1600.548119,3.775341217,-105.0665441,39.55037301
2013,361058,1.565753425,12.39209521,139.2116031,5991.229856,3.968027893,-105.0665441,39.55037301
2014,361058,1.565753425,12.69622688,263.0073772,19915.41255,4.066268457,-105.0665441,39.55037301
2015,361058,1.565753425,12.64405475,245.0521412,17426.34178,4.049438648,-105.0665441,39.55037301
2014,367842,1.804657568,79.77851641,413.8958537,46881.74761,21.89493266,-101.109519,40.15757241
2001,447960,0.460273973,325.0118836,3371.211449,2459702.033,102.4802837,-104.3855385,34.6184322
2002,447960,0.460273973,76.11394176,670.8367849,116678.6001,28.15370495,-104.3855385,34.6184322
2003,447960,0.460273973,131.7358095,1364.914812,446123.1738,45.99211126,-104.3855385,34.6184322
2004,447960,0.460273973,186.691203,2376.057566,1270639.303,62.70954452,-104.3855385,34.6184322
2005,447960,0.460273973,143.2529962,1691.836322,669155.7823,49.55622767,-104.3855385,34.6184322
2006,447960,0.460273973,145.0694671,2718.222311,1638103.636,50.11511049,-104.3855385,34.6184322
2007,447960,0.460273973,146.7181594,2503.601522,1402484.848,50.62163715,-104.3855385,34.6184322
2008,447960,0.460273973,140.6711029,2389.695489,1284444.684,48.76035922,-104.3855385,34.6184322
2009,447960,0.460273973,109.0401737,1528.926431,552717.5988,38.85321643,-104.3855385,34.6184322
2010,447960,0.460273973,108.8492401,1560.376434,574380.3153,38.79243637,-104.3855385,34.6184322
2011,447960,0.460273973,58.32204433,533.1084736,75605.68164,22.14295819,-104.3855385,34.6184322
