"","lagoslakeid","water_year","fluxTN_kgy","fluxTP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","p.value_TN","p.value_TP","lake_namelagos"
"340","367583",2010,21666.8253104606,4030.29158225016,96008.6060104795,1236.31119741753,0,0,"Keith Sebelius Lake"
"341","367583",2011,10666.4039097835,1962.15762061078,5157.89172059704,425.895168232166,0,0,"Keith Sebelius Lake"
"342","367583",2012,7974.07423398692,1196.78228295486,3299.15603120993,266.308317897889,0,0,"Keith Sebelius Lake"
"343","367583",2013,2350.5317559452,444.286954868468,421.177196481268,66.7010022759334,0,0,"Keith Sebelius Lake"
"344","367583",2014,1345.31251452222,248.659933755072,375.565361987925,42.6367358083255,0,0,"Keith Sebelius Lake"
"345","367583",2015,4291.52914243546,510.197291142593,2562.48992707617,116.913009218277,0,0,"Keith Sebelius Lake"
"346","455356",2001,312907.102059676,54007.0980393384,52298.5736890353,9917.09927370291,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"347","455356",2002,316962.994227862,53135.4917060434,52649.358853305,9152.94951117446,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"348","455356",2003,276511.741331529,46397.8387473861,47896.6455807323,7761.57915532721,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"349","455356",2004,286647.694808367,46456.0899085584,50041.2015031054,7515.54557686107,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"350","455356",2005,597010.916866873,86503.298863521,119139.011915475,16658.3177904836,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"351","455356",2006,969919.688967918,131911.811367604,197834.671181375,25727.8660940573,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"352","455356",2007,538042.184112358,73509.1547381526,91763.4762380223,10895.6422087637,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"353","455356",2008,478562.064915046,64283.2061490488,85440.4206391872,9933.54129886701,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"354","455356",2009,523695.998508501,68180.4378192384,95148.7130910351,11022.6365859586,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
"355","455356",2010,463021.071752256,59194.064008348,80176.1461277197,9133.62669385793,2.11797246407741e-12,0,"Great Salt Lake; Gunnison Bay"
