"","lagoslakeid","water_year","totaldepnitrogen_kgperha","flux","lake_lon_decdeg","lake_lat_decdeg","totTNload_gm2yr","TN_removal_gNm2yr"
"1","328600",2001,2.4107116392,93868.0903148946,-106.78870163,45.0848216528,9387.05010265338,17006338.6582599
"2","328600",2002,2.7585894327,64813.0424986238,-106.78870163,45.0848216528,6481.58010880565,8451038.3973459
"3","328600",2003,2.9008652876,158230.200069565,-106.78870163,45.0848216528,15823.3100934853,45580213.2179017
"4","328600",2004,2.3157327611,50749.5761346596,-106.78870163,45.0848216528,5075.18918674207,5325221.13197774
"5","328600",2005,3.0379026498,149446.825269404,-106.78870163,45.0848216528,14944.9863172054,40921123.6556699
"6","328600",2006,2.6418863114,54385.5310289919,-106.78870163,45.0848216528,5438.81729153033,6068479.13951517
"7","328600",2007,3.361107778,189452.021825277,-106.78870163,45.0848216528,18945.5382933055,64039136.0083095
"8","328600",2008,3.1440373876,194493.913031225,-106.78870163,45.0848216528,19449.7057068613,67294801.8850635
"9","328600",2009,3.4774475027,149818.861527631,-106.78870163,45.0848216528,14982.2338975134,41113902.7670539
"10","328600",2010,2.9976421159,168526.5209507,-106.78870163,45.0848216528,16852.9518592816,51341730.8978249
"11","328600",2011,2.8481746624,311960.629679046,-106.78870163,45.0848216528,31196.3477853708,164212484.982658
"12","328600",2012,2.5679686656,142670.118570202,-106.78870163,45.0848216528,14267.2686538868,37488071.1614166
"13","328600",2013,3.623480782,134096.691609172,-106.78870163,45.0848216528,13410.0315089954,33348924.0968863
"14","328600",2014,3.2128687196,394028.155855037,-106.78870163,45.0848216528,39403.1368723757,255218752.014701
"15","328600",2015,3.2119464786,387542.342329264,-106.78870163,45.0848216528,38754.5554275743,247344889.462471
"16","336493",2001,5.5969692752,10121.5206005662,-103.520834158,44.0797847753,1012.71175698414,253931.907037162
"17","336493",2002,5.385816937,8756.65570760758,-103.520834158,44.0797847753,876.204152454458,193192.949923389
"18","336493",2003,5.0310323747,7406.9356679197,-103.520834158,44.0797847753,741.19667002944,140856.898466823
"19","336493",2004,4.981366896,5635.71381847727,-103.520834158,44.0797847753,564.069518537327,84109.5971809877
"20","336493",2005,5.3385507985,4710.32598409676,-103.520834158,44.0797847753,471.566453489526,59974.8577877306
"21","336493",2006,5.8453495628,5325.37001489637,-103.520834158,44.0797847753,533.121536445917,75609.1795805705
"22","336493",2007,6.5666758541,4651.97684354825,-103.520834158,44.0797847753,465.854351940235,58610.5624882548
"23","336493",2008,7.4554544064,4974.83506977363,-103.520834158,44.0797847753,498.229052418003,66537.9062872795
"24","336493",2009,5.3122836387,7367.41364328289,-103.520834158,44.0797847753,737.272592692159,139452.179822437
"25","336493",2010,5.6209428969,10469.3134245649,-103.520834158,44.0797847753,1047.49343674618,270649.616865293
"26","336493",2011,5.9660112872,15462.9544836749,-103.520834158,44.0797847753,1546.89204949621,565044.322351669
"27","336493",2012,5.1473190681,11905.8549418473,-103.520834158,44.0797847753,1191.10022609154,344952.128711793
"28","336493",2013,7.731788642,9312.06603937339,-103.520834158,44.0797847753,931.979782801539,217067.657812966
"29","336493",2014,6.0721963661,11918.0856497131,-103.520834158,44.0797847753,1192.41578460792,345671.84805791
"30","336493",2015,6.2900106665,15515.9868429744,-103.520834158,44.0797847753,1552.22768536409,568729.876853745
"31","341691",2001,4.4990885919,128186.492643331,-102.271271758,45.7783648482,12819.0991731923,30628589.5373162
"32","341691",2002,4.0273014557,7169.01637313797,-102.271271758,45.7783648482,717.304367459367,132406.774646853
"33","341691",2003,5.2339319851,11705.2424438546,-102.271271758,45.7783648482,1171.04763758397,334069.106860846
"34","341691",2004,3.9312147066,65244.8812642772,-102.271271758,45.7783648482,6524.88124789838,8557954.76563885
