"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,127796.068960532,47197.0854392227,25546.3220797851,36506.3870443198,145216491.501933,0.0275,0.22,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2002,31323.5102917642,6985.05625703232,3575.4482908858,3369.11468798848,91771048.7109343,0.0225,0.22,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2003,39057.9250754287,12509.2023194954,4622.6700415761,7194.91083971309,94956734.728703,0.025,0.22,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2004,74430.3075369661,23667.3717729284,11439.1007646359,16007.3272102755,126772828.005785,0.02,0.235,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2005,75890.6105140762,20860.0359181348,18841.7970311476,12251.7483586431,145616751.261173,0.016,0.21,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2006,85836.2379242163,24459.1919133541,12176.4937923281,13738.5234557475,168603307.141171,0.0135,0.19,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2007,70858.7243481172,21949.3627815852,9138.70883532603,12700.3561659781,149602222.824759,0.045,0.185,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2008,89398.1288327195,23304.4061445412,11880.5151092176,13702.1407790056,165665909.101936,NA,NA,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2009,49633.0597002545,14581.9760853194,5844.47583207988,8224.32595836708,133730308.631016,0.0085,0.13,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2010,53209.7388038481,16118.9773760432,6295.33208684187,9353.30608169423,148085345.986562,0.06625,0.2625,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2011,29620.3096680275,6297.86280942989,3823.83292182718,3487.04140935048,107984260.193272,0.01,0.105,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2012,13223.6061707598,3092.9858980458,1725.49008071682,1470.5702932162,88074206.2153884,NA,NA,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2013,208261.723675543,18144.763093288,NA,21304.6533341781,109906779.25691,NA,NA,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2014,42382.9092500335,11690.4091945284,15011.9949342844,7681.82137768076,151534283.533024,NA,NA,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
2015,18339.1941671992,6746.87914223335,5470.6456011445,4175.24388101272,118808889.036691,NA,NA,98.7225721488931,0,0.116735329106246,86.4519726299359,1.39952383015896e-10,0.500754855542739
