"water_year","flux_kgy","flow_m3y","tp_mgl","RSQ","p.value","RMSE"
2001,4154.40747788923,31140515.4045128,0.4725,94.486149152793,0,0.169526203688997
2002,2531.98186781402,5861995.00696877,0.46,94.486149152793,0,0.169526203688997
2003,134.279219162704,893000.0741,NA,94.486149152793,0,0.169526203688997
2004,131.5515955694,893000.0741,NA,94.486149152793,0,0.169526203688997
2005,128.207031314769,893000.0741,NA,94.486149152793,0,0.169526203688997
2006,125.251687734795,893000.0741,NA,94.486149152793,0,0.169526203688997
2007,122.369695020927,893000.0741,NA,94.486149152793,0,0.169526203688997
2008,119.864817321719,893000.0741,NA,94.486149152793,0,0.169526203688997
2009,116.798825484475,893000.0741,NA,94.486149152793,0,0.169526203688997
2010,114.088206257196,893000.0741,NA,94.486149152793,0,0.169526203688997
2011,111.445281967154,893000.0741,NA,94.486149152793,0,0.169526203688997
2012,109.146538232653,893000.0741,NA,94.486149152793,0,0.169526203688997
2013,2650.44557552951,8599713.04236027,0.303333333333333,94.486149152793,0,0.169526203688997
2014,9937.05468527545,29371139.4234808,0.333333333333333,94.486149152793,0,0.169526203688997
2015,21325.4393996166,59080186.4666438,0.389166666666667,94.486149152793,0,0.169526203688997
