"water_year","flux_kgy","flow_m3y","tp_mgl","RSQ","p.value","RMSE"
2001,4090.09962929811,6454583.27368827,0.678333333333333,88.6987474731462,0,0.409379095387597
2002,2894.50913345021,5148328.92035241,0.545833333333333,88.6987474731462,0,0.409379095387597
2003,5826.5392991153,11398350.8088342,0.3975,88.6987474731462,0,0.409379095387597
2004,436.814278559294,893000.0741,NA,88.6987474731462,0,0.409379095387597
2005,389.763717285654,893000.0741,NA,88.6987474731462,0,0.409379095387597
2006,360.458331032641,893000.0741,NA,88.6987474731462,0,0.409379095387597
2007,345.038779193782,893000.0741,NA,88.6987474731462,0,0.409379095387597
2008,343.060585440521,893000.0741,NA,88.6987474731462,0,0.409379095387597
2009,351.44595509879,893000.0741,NA,88.6987474731462,0,0.409379095387597
2010,373.878421204303,893000.0741,NA,88.6987474731462,0,0.409379095387597
2011,411.477213656186,893000.0741,NA,88.6987474731462,0,0.409379095387597
2012,469.057321759896,893000.0741,NA,88.6987474731462,0,0.409379095387597
2013,1782.31183855759,3013691.75692159,0.626666666666667,88.6987474731462,0,0.409379095387597
2014,2496.33971789835,3955069.96606964,0.466666666666667,88.6987474731462,0,0.409379095387597
