water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2007,287.190167,3007707.643,0.156,96.53986347,0,0.229292876
2008,420.4526422,3081338.234,0.16,96.53986347,0,0.229292876
2009,390.8374652,2906042.433,0.143333333,96.53986347,0,0.229292876
2010,48.31549747,1256316.543,0.116666667,96.53986347,0,0.229292876
2011,473.5660675,3497869.057,0.138333333,96.53986347,0,0.229292876
2012,129.6916226,1722806.974,0.121666667,96.53986347,0,0.229292876
2013,251.7248536,2224181.828,0.16,96.53986347,0,0.229292876
2014,328.9770558,2735026.802,0.147142857,96.53986347,0,0.229292876
2015,481.7457299,4149494.421,0.152,96.53986347,0,0.229292876
