"water_year","flux_kgy","flow_m3y","tp_mgl","RSQ","p.value","RMSE"
2001,268.905282639543,12489447.4936032,0.0239521739130435,87.7073627955288,0,0.406920362408861
2002,481.059454538068,17082093.3983761,0.0251608695652174,87.7073627955288,0,0.406920362408861
2003,895.432898832627,25229992.6269911,0.0398461538461538,87.7073627955288,0,0.406920362408861
2004,661.178468890293,18957368.9980165,0.0309666666666667,87.7073627955288,0,0.406920362408861
2005,1423.0094963953,32540347.3972425,0.0438,87.7073627955288,0,0.406920362408861
2006,3246.10258433627,63441003.6295028,0.0467032258064516,87.7073627955288,0,0.406920362408861
2007,857.898991748475,19741896.1932139,0.032696,87.7073627955288,0,0.406920362408861
2008,675.095617494844,16346543.8650866,0.0544080416666667,87.7073627955288,0,0.406920362408861
2009,908.22837915309,19704272.3580289,0.0554995,87.7073627955288,0,0.406920362408861
2010,1328.8938448226,25696806.143729,0.0580677273333333,87.7073627955288,0,0.406920362408861
2011,3979.51534434881,66761200.5124477,0.0549985294117647,87.7073627955288,0,0.406920362408861
2012,1084.75842670357,21105795.3951879,0.0518704761904762,87.7073627955288,0,0.406920362408861
2013,749.26834173902,17311479.2132881,0.065125,87.7073627955288,0,0.406920362408861
