"water_year","flux_TN_kgy","flux_TP_kgy","flux_TN_kgy_se","flux_TP_kgy_se","flow_m3y","tp_mgl","tn_mgl","RSQ_TN","p.value_TN","RMSE_TN","RSQ_TP","p.value_TP","RMSE_TP"
2001,33231.0197032535,813.557829887567,3043.7820406842,112.841094943094,146411398.998345,0.00442857142857143,0.17,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2002,7626.46882749935,145.264612150728,603.139366198892,15.3419242457827,39170995.6339206,0.0038,0.24,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2003,16447.7737222434,402.839523166144,1242.66850544338,43.5276965539036,85401903.0591431,NA,NA,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2004,21596.5052887056,580.48700242709,1677.88358694141,60.2775395976984,113510800.949035,NA,NA,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2005,36235.8979525491,1175.31453799796,3363.2249688119,149.848517195107,185147295.637258,NA,NA,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2006,20758.0434320262,579.904015808292,1658.6896057794,46.7089805865421,116917686.140036,NA,NA,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2007,28504.3750608174,914.658821183883,2606.29667339882,91.8480765495811,154838383.807194,NA,NA,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2008,25331.3352407731,805.190691731144,2051.80922231705,69.5736697971007,136252048.191266,NA,NA,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2009,21066.0260814628,649.719560461258,1644.44275509389,55.2253585367805,108738050.118834,NA,NA,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2010,20190.6315049561,625.969739823528,1465.37358909031,51.0357161454732,103666299.013055,NA,NA,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2011,24392.6164300848,759.660221459844,1673.69423488507,62.138673422784,121121392.242279,0.00527272727272727,0.16,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2012,18225.7743133068,460.551153461936,970.232508859975,24.111947881179,88304287.9284694,0.00447058823529412,0.189375,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2013,19546.428430793,532.314856405085,1095.37660518255,35.6205563665685,88554535.8412924,0.00547058823529412,0.241176470588235,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2014,27635.9098737744,734.06326011316,1642.51008442012,57.837762925777,115301967.649801,0.00626666666666667,0.244,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
2015,36254.8058900796,999.746276821579,2765.91962150253,102.220109556401,136329795.148088,0.00547368421052632,0.241052631578947,96.4319338781782,0,0.211168763588975,92.6972541882074,0,0.335879928669077
