"water_year","flux_kgy","flow_m3y","tp_mgl","RSQ","p.value","RMSE"
2001,643.765072651991,133658216.849231,0.00442857142857143,92.6972541882074,0,0.335879928669077
2002,168.873777629129,48446264.5849153,0.0038,92.6972541882074,0,0.335879928669077
2003,236.109821786131,66650446.2822361,NA,92.6972541882074,0,0.335879928669077
2004,249.481841401819,68426243.4529619,NA,92.6972541882074,0,0.335879928669077
2005,262.180607867088,70249331.8214338,NA,92.6972541882074,0,0.335879928669077
2006,276.288553173503,72118410.1234404,NA,92.6972541882074,0,0.335879928669077
2007,291.172872187202,74037217.7767227,NA,92.6972541882074,0,0.335879928669077
2008,307.734046747928,76009823.9510245,NA,92.6972541882074,0,0.335879928669077
2009,323.472184342814,78034962.5373619,NA,92.6972541882074,0,0.335879928669077
2010,340.956168764408,80111188.0543138,NA,92.6972541882074,0,0.335879928669077
2011,669.708712223245,126131482.529565,0.00527272727272727,92.6972541882074,0,0.335879928669077
2012,446.490784242996,87183006.9234309,0.00447058823529412,92.6972541882074,0,0.335879928669077
2013,342.448000880174,64751222.4134824,0.00547058823529412,92.6972541882074,0,0.335879928669077
2014,825.962262067564,125922143.567187,0.00626666666666667,92.6972541882074,0,0.335879928669077
2015,903.029247953939,138632362.922796,0.00547368421052632,92.6972541882074,0,0.335879928669077
