water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2004,2825.969826,1889761.695,1.037142857,94.35432368,0,0.157625341
2005,3610.345596,1268549.42,0.846666667,94.35432368,0,0.157625341
2006,3290.381327,1120531.6,0.8,94.35432368,0,0.157625341
2007,3315.034615,1395771.349,0.8625,94.35432368,0,0.157625341
2008,3000.352408,1187494.907,0.926666667,94.35432368,0,0.157625341
2009,2823.141804,1191482.291,0.878,94.35432368,0,0.157625341
2010,2600.601874,1100958.995,0.774333333,94.35432368,0,0.157625341
2011,1179.484888,1032285.62,0.91,94.35432368,0,0.157625341
