water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,568.6883313,1232340.102,1.4075,90.70485714,0,0.245609988
2002,412.3788056,1156496.26,1.3625,90.70485714,0,0.245609988
2003,228.4086056,1052027.485,1.266666667,90.70485714,0,0.245609988
2004,387.0406903,1173587.529,1.1975,90.70485714,0,0.245609988
2005,428.601845,1206161.744,1.3275,90.70485714,0,0.245609988
2006,489.4171325,1256561.2,1.4325,90.70485714,0,0.245609988
2007,719.6945123,1406046.966,1.495,90.70485714,0,0.245609988
2008,591.6875066,1328520.602,1.186,90.70485714,0,0.245609988
2009,605.8189152,1344662.386,1.042,90.70485714,0,0.245609988
2010,489.8418668,1235520.65,1.284,90.70485714,0,0.245609988
2011,633.7021849,1334117.645,1.208,90.70485714,0,0.245609988
2012,482.4403766,1210869.062,1.284,90.70485714,0,0.245609988
2013,738.3530734,1366926.223,1.334,90.70485714,0,0.245609988
2014,679.7279314,1385815.03,1.73,90.70485714,0,0.245609988
