water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,4556.625634,12760369.04,0.344333333,88.36452912,0,0.317591554
2002,9740.506906,24766684.25,0.380666667,88.36452912,0,0.317591554
2003,5023.566581,13196828.49,0.308409091,88.36452912,0,0.317591554
2004,6175.594086,16505862.03,0.385416667,88.36452912,0,0.317591554
2005,4344.283536,12426157.2,0.314833333,88.36452912,0,0.317591554
2006,7854.018527,21065015.45,0.331916667,88.36452912,0,0.317591554
2007,9457.419158,25520229.51,0.325583333,88.36452912,0,0.317591554
2008,6164.679888,19933908.76,0.269833333,88.36452912,0,0.317591554
2009,1726.456637,29915502.48,0.257666667,88.36452912,0,0.317591554
